,date,iso_a3,currency_code,name,dollar_price,SH_XPD_CHEX_PC_CD_2016,NY_GDP_PCAP_CD_2016,PA_NUS_PPPC_RF_2016,IT_NET_BBND_P2_2016,EN_ATM_PM25_MC_T3_ZS_2016,IT_NET_SECR_P6_2016,SL_TLF_ACTI_1524_ZS_2016,SP_DYN_LE00_IN_2016,predictions
3,2019-07-09,AZE,AZN,Azerbaijan,2.3283230179781897,268.15586521,3880.7387308955604,0.22281216135214002,18.54593591,99.9999999998609,101.86709889471099,39.870998382568395,72.02600000000001,2.8390784615703772
33,2019-07-09,MYS,MYR,Malaysia,2.1363910681955303,361.52197369,9671.02471707407,0.343120090869203,8.717660879,59.737826654589206,945.647233073413,42.6599998474121,75.3,3.1570652865187476
34,2019-07-09,NIC,NIO,Nicaragua,3.3170396325926297,188.158313,2107.57423769183,0.390275776875252,2.878472724,76.1184394930762,34.581360900282895,51.1669998168945,75.404,3.160248082701983
8,2019-07-09,CHL,CLP,Chile,3.82747372236318,1190.54854502,13748.0883953109,0.601031677459315,16.21786653,82.74046684982291,1237.18578018381,34.8569984436035,79.52199999999999,3.6650227302348606
17,2019-07-09,GTM,GTQ,Guatemala,3.2551235644905097,241.35228463,4140.59006414525,0.5204806417133739,3.051415323,99.992479528915,36.1815008810195,54.0919990539551,73.40899999999999,3.06747690450437
6,2019-07-09,CAN,CAD,Canada,5.1559346559537,4458.21499934,42279.9008231637,0.9393103172411491,36.88774224,0.0,10221.441251713199,63.7410011291504,82.30051219512201,4.639102371017408
4,2019-07-09,BHR,BHD,Bahrain,3.7135278514588896,1099.36229078,22619.1166718849,0.479060737292636,16.29348338,100.0,346.474343013808,44.8880004882813,76.9,3.440163343944835
47,2019-07-09,SWE,SEK,Sweden,5.38255734798233,5710.59141927,51617.5403524643,1.0516150155873,37.40539422,0.0,6205.93293315536,55.9080009460449,82.3073170731707,4.9754325127252175
27,2019-07-09,KOR,KRW,South Korea,3.81178264368303,2043.86063994,27608.247428711602,0.7432994543245649,40.47038073,100.0,720.606703699102,31.510000228881804,82.2756097560976,3.9711733058190797
46,2019-07-09,SGP,SGD,Singapore,4.26063321824726,2462.3936773,56724.1703858863,0.6202613817293959,25.98686873,99.99999999997091,19060.746532679,39.79600143432621,82.84634146341459,4.161080200815529
45,2019-07-09,SAU,SAR,Saudi Arabia,3.46634314130681,1147.3329701999999,19879.2975304177,0.36704893456259996,10.18619061,100.0,106.095164094881,18.7110004425049,74.561,3.302579637257257
53,2019-07-09,VNM,VND,Vietnam,2.79798545047566,122.84117394,2192.2145386656603,0.34440138876055004,9.611269105,99.28748674753191,278.709479210759,58.808998107910206,76.253,3.1566309289477346
15,2019-07-09,EMU,EUR,Euro area,4.572252,3588.12025136626,35180.7495786533,0.47861430781062697,34.957708486668,82.74046684982291,6792.8245397460105,40.0310942911535,81.9459124960894,4.307382361197053
9,2019-07-09,CHN,CNY,China,3.0502861458908304,398.33155573,8078.790474372379,0.520766343231927,22.98517393,99.94186750968771,47.9115666242343,48.0499992370605,76.252,3.196081573492482
16,2019-07-09,GBR,GBP,Britain,4.101314,3958.01889383,40539.9196069162,0.943288537388043,38.67786981,1.2024572926461798,8698.54539708592,57.888999938964794,81.1560975609756,4.428894017835952
24,2019-07-09,ISR,ILS,Israel,4.76631059522808,2837.13963899,37371.6269147791,0.9962209569768341,27.5640553,91.6379574913542,2119.58811139715,48.9690017700195,82.4073170731707,4.298949356852909
30,2019-07-09,LKA,LKR,Sri Lanka,3.64309093496513,153.09678414,3886.2915016523903,0.314441520145616,4.2896571539999995,62.109938980309295,71.07484789888221,28.7439994812012,75.28399999999999,3.1199155762925668
37,2019-07-09,OMN,OMR,Oman,3.14285714285714,648.27724661,14721.6473328796,0.34740903472824997,6.433046568,100.0,127.924086766019,40.680999755859396,77.029,3.357079589981616
25,2019-07-09,JOR,JOD,Jordan,3.24400564174894,223.53819879,4109.57481873331,0.45747508865593894,3.1789794239999996,99.99999634632358,70.0415967515775,23.152000427246104,74.329,3.110255415229513
11,2019-07-09,CRI,CRC,Costa Rica,3.9351473961868595,888.85370049,11666.4566126052,0.716674360756914,13.15731828,58.364298755948,489.861399840183,42.0730018615723,79.831,3.6504302183921373
0,2019-07-09,ARE,AED,United Arab Emirates,4.01562691422893,1323.11680312,38141.846758549196,0.526922320454824,13.99826659,100.0,938.6837702890081,50.808998107910206,77.256,3.5420534222922324
48,2019-07-09,THA,THB,Thailand,3.8601897656313398,221.91767602,5978.61145407809,0.35248616497366897,10.48305493,99.5536359013624,146.481151712151,41.1599998474121,75.303,3.1153233946779353
36,2019-07-09,NZL,NZD,New Zealand,4.2288,3745.2164613000004,40026.8521964671,1.02311480830476,32.83747776,0.0,6430.1542657461905,62.4609985351563,81.6124390243903,4.452791758289653
29,2019-07-09,LBN,LBP,Lebanon,4.31320504313205,662.12705762,7634.94654364282,0.6014816984344079,21.64261451,99.74426813929341,88.2117905488517,29.8320007324219,79.584,3.509216908906475
40,2019-07-09,PHL,PHP,Philippines,2.76708725093779,129.4326091,2941.21203999356,0.37784691529690795,2.889513729,78.4221968051977,40.534833298375794,41.103000640869105,69.094,2.720989977920171
1,2019-07-09,ARG,ARS,Argentina,2.87050437153895,955.2009489,12790.2424732447,0.6353692611128591,16.47332124,20.7018963548796,735.0247651040711,38.4080009460449,76.577,3.4152343082845182
21,2019-07-09,HUN,HUF,Hungary,3.0976673876200698,942.59196302,12839.584543904199,0.47816787832861796,28.88444412,58.5599377023401,4125.9328615797995,32.6459999084473,76.0634146341464,3.280991051074885
